0.031250	 1.000000	 0.000000	 0.000000
0.000000	 1.000000	 0.000000	 0.000000
0.000000	 0.968750	 0.000000	 0.000000
0.031250	 1.000000	 0.000000	 0.000000


0.031250	 1.000000	 0.000000	 0.000000
0.000000	 0.968750	 0.000000	 0.000000
0.041667	 0.979167	 0.004700	 0.005069
0.031250	 1.000000	 0.000000	 0.000000


0.020833	 0.895833	 0.012372	 0.012482
0.023437	 0.929687	 0.009570	 0.009570
0.000000	 0.906250	 0.000000	 0.000000
0.020833	 0.895833	 0.012372	 0.012482


0.097656	 0.929687	 0.039407	 0.039288
0.083333	 0.958333	 0.020087	 0.020058
0.062500	 0.937500	 0.022443	 0.022598
0.097656	 0.929687	 0.039407	 0.039288


0.041667	 0.979167	 0.004700	 0.005069
0.000000	 0.968750	 0.000000	 0.000000
0.031250	 0.953125	 0.008370	 0.008539
0.041667	 0.979167	 0.004700	 0.005069


0.031250	 1.000000	 0.000000	 0.000000
0.041667	 0.979167	 0.004700	 0.005069
0.062500	 1.000000	 0.000000	 0.000000
0.031250	 1.000000	 0.000000	 0.000000


0.000000	 0.968750	 0.000000	 0.000000
0.000000	 0.937500	 0.000000	 0.000000
0.031250	 0.953125	 0.008370	 0.008539
0.000000	 0.968750	 0.000000	 0.000000


0.020833	 0.895833	 0.012372	 0.012482
0.000000	 0.906250	 0.000000	 0.000000
0.000000	 0.875000	 0.000000	 0.000000
0.020833	 0.895833	 0.012372	 0.012482


0.039062	 0.859375	 0.031132	 0.031075
0.020833	 0.895833	 0.012372	 0.012482
0.000000	 0.875000	 0.000000	 0.000000
0.039062	 0.859375	 0.031132	 0.031075


0.041667	 0.916667	 0.019957	 0.020058
0.023437	 0.929687	 0.009570	 0.009570
0.020833	 0.895833	 0.012372	 0.012482
0.041667	 0.916667	 0.019957	 0.020058


0.078125	 0.906250	 0.042050	 0.041879
0.041667	 0.916667	 0.019957	 0.020058
0.058594	 0.882812	 0.039068	 0.039113
0.078125	 0.906250	 0.042050	 0.041879


0.062500	 0.937500	 0.022443	 0.022598
0.031250	 0.953125	 0.008370	 0.008539
0.041667	 0.916667	 0.019957	 0.020058
0.062500	 0.937500	 0.022443	 0.022598


0.070312	 0.976562	 0.009853	 0.009570
0.104167	 0.979167	 0.012451	 0.012482
0.093750	 1.000000	 0.000000	 0.000000
0.070312	 0.976562	 0.009853	 0.009570


0.031250	 0.953125	 0.008370	 0.008539
0.062500	 0.937500	 0.022443	 0.022598
0.041667	 0.979167	 0.004700	 0.005069
0.031250	 0.953125	 0.008370	 0.008539


0.097656	 0.929687	 0.039407	 0.039288
0.111607	 0.955357	 0.028571	 0.028509
0.083333	 0.958333	 0.020087	 0.020058
0.097656	 0.929687	 0.039407	 0.039288


0.070312	 0.976562	 0.009853	 0.009570
0.083333	 0.958333	 0.020087	 0.020058
0.104167	 0.979167	 0.012451	 0.012482
0.070312	 0.976562	 0.009853	 0.009570


0.041667	 0.979167	 0.004700	 0.005069
0.070312	 0.976562	 0.009853	 0.009570
0.062500	 1.000000	 0.000000	 0.000000
0.041667	 0.979167	 0.004700	 0.005069


0.041667	 0.979167	 0.004700	 0.005069
0.062500	 0.937500	 0.022443	 0.022598
0.070312	 0.976562	 0.009853	 0.009570
0.041667	 0.979167	 0.004700	 0.005069


0.020833	 0.895833	 0.012372	 0.012482
0.058594	 0.882812	 0.039068	 0.039113
0.041667	 0.916667	 0.019957	 0.020058
0.020833	 0.895833	 0.012372	 0.012482


0.236328	 0.892578	 0.133565	 0.132916
0.242647	 0.867647	 0.166242	 0.165622
0.270833	 0.887153	 0.155684	 0.154965
0.236328	 0.892578	 0.133565	 0.132916


0.223214	 0.910714	 0.106620	 0.106048
0.236328	 0.892578	 0.133565	 0.132916
0.257812	 0.906250	 0.125445	 0.124829
0.223214	 0.910714	 0.106620	 0.106048


0.223214	 0.910714	 0.106620	 0.106048
0.200893	 0.888393	 0.120748	 0.120337
0.236328	 0.892578	 0.133565	 0.132916
0.223214	 0.910714	 0.106620	 0.106048


0.208333	 0.953125	 0.053093	 0.053036
0.187500	 0.929687	 0.072424	 0.072275
0.223214	 0.910714	 0.106620	 0.106048
0.208333	 0.953125	 0.053093	 0.053036


0.218750	 1.000000	 0.000000	 0.000000
0.196875	 0.978125	 0.023635	 0.023640
0.229167	 0.976562	 0.028662	 0.028800
0.218750	 1.000000	 0.000000	 0.000000


0.178571	 0.866071	 0.129621	 0.129025
0.156250	 0.843750	 0.132557	 0.131940
0.171875	 0.828125	 0.157637	 0.156929
0.178571	 0.866071	 0.129621	 0.129025


0.223214	 0.910714	 0.106620	 0.106048
0.187500	 0.929687	 0.072424	 0.072275
0.200893	 0.888393	 0.120748	 0.120337
0.223214	 0.910714	 0.106620	 0.106048


0.214844	 0.859375	 0.159333	 0.158627
0.236328	 0.892578	 0.133565	 0.132916
0.200893	 0.888393	 0.120748	 0.120337
0.214844	 0.859375	 0.159333	 0.158627


0.257812	 0.906250	 0.125445	 0.124829
0.279297	 0.929687	 0.100559	 0.100054
0.245536	 0.933036	 0.086911	 0.086436
0.257812	 0.906250	 0.125445	 0.124829


0.151442	 0.870192	 0.108359	 0.107854
0.125000	 0.859375	 0.097571	 0.097148
0.156250	 0.843750	 0.132557	 0.131940
0.151442	 0.870192	 0.108359	 0.107854


0.173077	 0.891827	 0.103025	 0.102389
0.151442	 0.870192	 0.108359	 0.107854
0.178571	 0.866071	 0.129621	 0.129025
0.173077	 0.891827	 0.103025	 0.102389


0.136364	 0.900568	 0.076072	 0.075801
0.113636	 0.880682	 0.076248	 0.075970
0.151442	 0.870192	 0.108359	 0.107854
0.136364	 0.900568	 0.076072	 0.075801


0.225694	 0.819444	 0.208668	 0.207717
0.240625	 0.803125	 0.237166	 0.236158
0.262500	 0.825000	 0.228875	 0.227811
0.225694	 0.819444	 0.208668	 0.207717


0.193359	 0.835937	 0.167728	 0.167044
0.225694	 0.819444	 0.208668	 0.207717
0.214844	 0.859375	 0.159333	 0.158627
0.193359	 0.835937	 0.167728	 0.167044


0.193359	 0.835937	 0.167728	 0.167044
0.203125	 0.796875	 0.211619	 0.210697
0.225694	 0.819444	 0.208668	 0.207717
0.193359	 0.835937	 0.167728	 0.167044


0.045455	 0.821023	 0.045140	 0.045048
0.023437	 0.835937	 0.021465	 0.021529
0.021875	 0.803125	 0.023666	 0.023640
0.045455	 0.821023	 0.045140	 0.045048


0.045455	 0.795455	 0.050849	 0.050639
0.043269	 0.762019	 0.054844	 0.054707
0.064904	 0.783654	 0.075872	 0.075569
0.045455	 0.795455	 0.050849	 0.050639


0.156250	 0.843750	 0.132557	 0.131940
0.120192	 0.826923	 0.113692	 0.113249
0.137500	 0.812500	 0.138530	 0.138103
0.156250	 0.843750	 0.132557	 0.131940


0.214844	 0.859375	 0.159333	 0.158627
0.178571	 0.866071	 0.129621	 0.129025
0.193359	 0.835937	 0.167728	 0.167044
0.214844	 0.859375	 0.159333	 0.158627


0.125000	 0.859375	 0.097571	 0.097148
0.120192	 0.826923	 0.113692	 0.113249
0.156250	 0.843750	 0.132557	 0.131940
0.125000	 0.859375	 0.097571	 0.097148


0.178571	 0.866071	 0.129621	 0.129025
0.151442	 0.870192	 0.108359	 0.107854
0.156250	 0.843750	 0.132557	 0.131940
0.178571	 0.866071	 0.129621	 0.129025


0.113636	 0.880682	 0.076248	 0.075970
0.090909	 0.860795	 0.070899	 0.070845
0.125000	 0.859375	 0.097571	 0.097148
0.113636	 0.880682	 0.076248	 0.075970


0.084517	 0.883523	 0.055977	 0.055749
0.090909	 0.860795	 0.070899	 0.070845
0.113636	 0.880682	 0.076248	 0.075970
0.084517	 0.883523	 0.055977	 0.055749


0.058594	 0.882812	 0.039068	 0.039113
0.084517	 0.883523	 0.055977	 0.055749
0.078125	 0.906250	 0.042050	 0.041879
0.058594	 0.882812	 0.039068	 0.039113


0.058594	 0.882812	 0.039068	 0.039113
0.090909	 0.860795	 0.070899	 0.070845
0.084517	 0.883523	 0.055977	 0.055749
0.058594	 0.882812	 0.039068	 0.039113


0.068182	 0.840909	 0.060681	 0.060486
0.094187	 0.833916	 0.086748	 0.086294
0.090909	 0.860795	 0.070899	 0.070845
0.068182	 0.840909	 0.060681	 0.060486


0.021875	 0.803125	 0.023666	 0.023640
0.023437	 0.835937	 0.021465	 0.021529
0.000000	 0.812500	 0.000000	 0.000000
0.021875	 0.803125	 0.023666	 0.023640


0.022727	 0.772727	 0.027861	 0.027738
0.043269	 0.762019	 0.054844	 0.054707
0.045455	 0.795455	 0.050849	 0.050639
0.022727	 0.772727	 0.027861	 0.027738


0.137500	 0.812500	 0.138530	 0.138103
0.114583	 0.791667	 0.127718	 0.127322
0.130917	 0.771542	 0.156762	 0.156115
0.137500	 0.812500	 0.138530	 0.138103


0.064904	 0.783654	 0.075872	 0.075569
0.066964	 0.754464	 0.086676	 0.086436
0.089286	 0.776786	 0.106274	 0.106048
0.064904	 0.783654	 0.075872	 0.075569


0.024038	 0.740385	 0.032709	 0.032618
0.043269	 0.762019	 0.054844	 0.054707
0.022727	 0.772727	 0.027861	 0.027738
0.024038	 0.740385	 0.032709	 0.032618


0.024038	 0.740385	 0.032709	 0.032618
0.044643	 0.732143	 0.062063	 0.061889
0.043269	 0.762019	 0.054844	 0.054707
0.024038	 0.740385	 0.032709	 0.032618


0.085937	 0.742187	 0.114943	 0.114692
0.125000	 0.729167	 0.171619	 0.170832
0.107422	 0.763672	 0.133228	 0.132916
0.085937	 0.742187	 0.114943	 0.114692


0.044643	 0.732143	 0.062063	 0.061889
0.064453	 0.720703	 0.091975	 0.091835
0.066964	 0.754464	 0.086676	 0.086436
0.044643	 0.732143	 0.062063	 0.061889


0.021484	 0.677734	 0.034069	 0.033963
0.000000	 0.687500	 0.000000	 0.000000
0.000000	 0.656250	 0.000000	 0.000000
0.021484	 0.677734	 0.034069	 0.033963


0.066176	 0.691176	 0.101585	 0.101106
0.042969	 0.699219	 0.064972	 0.064761
0.044118	 0.669118	 0.070993	 0.070722
0.066176	 0.691176	 0.101585	 0.101106


0.090278	 0.684028	 0.139594	 0.139146
0.066176	 0.691176	 0.101585	 0.101106
0.067708	 0.661458	 0.109993	 0.109565
0.090278	 0.684028	 0.139594	 0.139146


0.090278	 0.684028	 0.139594	 0.139146
0.104167	 0.706597	 0.152793	 0.152047
0.066176	 0.691176	 0.101585	 0.101106
0.090278	 0.684028	 0.139594	 0.139146


0.064453	 0.720703	 0.091975	 0.091835
0.044643	 0.732143	 0.062063	 0.061889
0.042969	 0.699219	 0.064972	 0.064761
0.064453	 0.720703	 0.091975	 0.091835


0.137500	 0.812500	 0.138530	 0.138103
0.176471	 0.801471	 0.183431	 0.182553
0.171875	 0.828125	 0.157637	 0.156929
0.137500	 0.812500	 0.138530	 0.138103


0.096154	 0.805288	 0.101910	 0.101439
0.114583	 0.791667	 0.127718	 0.127322
0.120192	 0.826923	 0.113692	 0.113249
0.096154	 0.805288	 0.101910	 0.101439


0.154412	 0.779412	 0.177307	 0.176873
0.176471	 0.801471	 0.183431	 0.182553
0.137500	 0.812500	 0.138530	 0.138103
0.154412	 0.779412	 0.177307	 0.176873


0.114583	 0.791667	 0.127718	 0.127322
0.107422	 0.763672	 0.133228	 0.132916
0.130917	 0.771542	 0.156762	 0.156115
0.114583	 0.791667	 0.127718	 0.127322


0.120192	 0.826923	 0.113692	 0.113249
0.114583	 0.791667	 0.127718	 0.127322
0.137500	 0.812500	 0.138530	 0.138103
0.120192	 0.826923	 0.113692	 0.113249


0.096154	 0.805288	 0.101910	 0.101439
0.089286	 0.776786	 0.106274	 0.106048
0.114583	 0.791667	 0.127718	 0.127322
0.096154	 0.805288	 0.101910	 0.101439


0.145833	 0.751736	 0.185465	 0.184677
0.153125	 0.715625	 0.215156	 0.214076
0.187500	 0.732143	 0.247096	 0.245965
0.145833	 0.751736	 0.185465	 0.184677


0.058594	 0.882812	 0.039068	 0.039113
0.068182	 0.840909	 0.060681	 0.060486
0.090909	 0.860795	 0.070899	 0.070845
0.058594	 0.882812	 0.039068	 0.039113


0.064904	 0.783654	 0.075872	 0.075569
0.089286	 0.776786	 0.106274	 0.106048
0.096154	 0.805288	 0.101910	 0.101439
0.064904	 0.783654	 0.075872	 0.075569


0.045455	 0.795455	 0.050849	 0.050639
0.064904	 0.783654	 0.075872	 0.075569
